name,date,year,prize,location,participants,winner,runner_up,url
RE:L0:AD 2025,2025-05-10,2025,"$520,000",Rio De Janeiro,20,FURIA,CAG Osaka,https://liquipedia.net/rainbowsix/Reload/2025
Six Invitational 2025,2025-02-03,2025,"$3,000,000",Boston,20,FaZe Clan,Team BDS,https://liquipedia.net/rainbowsix/Six_Invitational/2025
BLAST R6 Major Montreal 2024,2024-11-07,2024,"$750,000",Montreal,20,w7m esports,Team BDS,https://liquipedia.net/rainbowsix/BLAST_Major/2024/Stage_2
Esports World Cup 2024,2024-07-31,2024,"$2,000,000",Riyadh,16,Team BDS,w7m esports,https://liquipedia.net/rainbowsix/Esports_World_Cup/2024
BLAST R6 Major Manchester 2024,2024-05-16,2024,"$750,000",Manchester,20,beastcoast,Team BDS,https://liquipedia.net/rainbowsix/BLAST_Major/2024/Stage_1
Six Invitational 2024,2024-02-13,2024,"$3,000,000",São Paulo,20,w7m esports,FaZe Clan,https://liquipedia.net/rainbowsix/Six_Invitational/2024
BLAST R6 Major Atlanta 2023,2023-10-31,2023,"$750,000",Atlanta,24,w7m esports,LOS,https://liquipedia.net/rainbowsix/BLAST_Major/2023/Stage_2
Gamers8 2023,2023-07-13,2023,"$2,000,000",Riyadh,8,Team BDS,M80,https://liquipedia.net/rainbowsix/Gamers8/2023
BLAST R6 Major Copenhagen 2023,2023-04-24,2023,"$750,000",Copenhagen,24,w7m esports,Team Liquid,https://liquipedia.net/rainbowsix/BLAST_Major/2023/Stage_1
Six Invitational 2023,2023-02-07,2023,"$3,000,000",Montreal,20,G2 Esports,w7m esports,https://liquipedia.net/rainbowsix/Six_Invitational/2023
Six Jönköping Major 2022,2022-11-21,2022,"$500,000",Jönköping Stockholm,16,Team BDS,Team Liquid,https://liquipedia.net/rainbowsix/Six_Major/2022/Stage_3
Six Berlin Major 2022,2022-08-15,2022,"$500,000",Berlin,16,Rogue,FaZe Clan,https://liquipedia.net/rainbowsix/Six_Major/2022/Stage_2
Gamers8 2022,2022-08-04,2022,"$1,200,000",Riyadh,8,Team BDS,Team Falcons,https://liquipedia.net/rainbowsix/Gamers8/2022
Six Charlotte Major 2022,2022-05-16,2022,"$500,000",Charlotte Mexico City,16,DarkZero Esports,Astralis,https://liquipedia.net/rainbowsix/Six_Major/2022/Stage_1
Six Invitational 2022,2022-02-08,2022,"$3,000,000",Stockholm,20,TSM,Team Empire,https://liquipedia.net/rainbowsix/Six_Invitational/2022
